mean_diff,ci_low,ci_high,boot_p,n,cohen_dz,encoder,dataset,budget,system
0.07115662820075906,0.021739271849765266,0.12370864089523574,0.0062,50,0.3828058264101199,minilm,trec-covid,50,alpha_learned_override
0.10408614892989858,0.04792131026580334,0.1608311792446663,0.0001,50,0.5150404863968208,minilm,trec-covid,50,alpha_oracle
0.05736613829513245,-0.008026956929030899,0.12130541510285854,0.0808,50,0.24758731534213282,minilm,trec-covid,50,bm25
0.09655556998881386,0.04396614510164349,0.14874872002722334,0.0002,50,0.5102636046057444,minilm,trec-covid,50,rrf
0.011861910399466064,-0.013079808843263603,0.03717029379544872,0.3515,50,0.12987015214325853,minilm,trec-covid,100,alpha_fixed
0.03221115696587983,-0.016692763640349603,0.08140948017302257,0.1921,50,0.1827592439237333,minilm,trec-covid,100,alpha_learned
0.022476090505369025,-0.007796569068566775,0.054210125624458136,0.1544,50,0.1980380733168752,minilm,trec-covid,100,alpha_learned_override
0.04254629101317267,-0.0012945212674860124,0.08973617277984881,0.0691,50,0.25706740347493223,minilm,trec-covid,100,alpha_oracle
0.02068716560092776,-0.0393148921799877,0.0800334850509885,0.4805,50,0.09697037917369897,minilm,trec-covid,100,bm25
0.0283666800703046,-0.016593841223397104,0.07165633073225203,0.1996,50,0.17863995019200357,minilm,trec-covid,100,rrf
