defense,target_fpr,qid,final_score,detector_calls,evaded
D1b_3feat_trained,0.001,784,0.43236671492312995,9,True
D1b_3feat_trained,0.001,216,0.409161311781506,9,True
D1b_3feat_trained,0.001,1368,0.4427187561288746,25,True
D1b_3feat_trained,0.001,185,0.43376025669836554,17,True
D1b_3feat_trained,0.001,975,0.43146051469864366,9,True
D1b_3feat_trained,0.001,1014,0.42280051526770124,9,True
D1b_3feat_trained,0.001,808,0.43936698680471264,9,True
D1b_3feat_trained,0.001,770,0.4368331054966984,17,True
D1b_3feat_trained,0.001,598,0.4336379995410878,25,True
D1b_3feat_trained,0.001,660,0.4322463618822191,25,True
D1b_3feat_trained,0.001,350,0.4397990397141212,9,True
D1b_3feat_trained,0.001,693,0.46020403210400623,25,True
D1b_3feat_trained,0.001,132,0.4241378648972171,9,True
D1b_3feat_trained,0.001,127,0.4168267842143099,9,True
D1b_3feat_trained,0.001,410,0.45300095687736625,25,True
D1b_3feat_trained,0.001,232,0.4339602055866357,41,True
D1b_3feat_trained,0.001,219,0.42469549410167673,9,True
D1b_3feat_trained,0.001,217,0.3952686576863229,9,True
D1b_3feat_trained,0.001,115,0.4290263385321555,57,True
D1b_3feat_trained,0.001,324,0.42989204328547087,25,True
D1b_3feat_trained,0.001,619,0.42621327473846665,25,True
D1b_3feat_trained,0.001,1199,0.41218176860646505,17,True
D1b_3feat_trained,0.001,1319,0.4008085622149306,9,True
D1b_3feat_trained,0.001,236,0.4183019562358981,9,True
D1b_3feat_trained,0.001,873,0.44522673726982903,17,True
D1b_3feat_trained,0.001,113,0.4393894953334987,25,True
D1b_3feat_trained,0.001,279,0.4554482074223396,17,True
D1b_3feat_trained,0.001,729,0.4418772683153331,9,True
D1b_3feat_trained,0.001,759,0.4396014128546899,9,True
D1b_3feat_trained,0.001,1163,0.43737987119832916,49,True
D1b_3feat_trained,0.001,72,0.44009644239130746,57,True
D1b_3feat_trained,0.001,1099,0.43629448762688916,9,True
D1b_3feat_trained,0.001,1274,0.4341645736983252,25,True
D1b_3feat_trained,0.001,1241,0.4224286326357913,17,True
D1b_3feat_trained,0.001,1107,0.4355905938006047,49,True
D1b_3feat_trained,0.001,985,0.4066411468709547,9,True
D1b_3feat_trained,0.001,70,0.4098595671197151,9,True
D1b_3feat_trained,0.001,1179,0.43784305096622517,17,True
D1b_3feat_trained,0.001,57,0.4216009474859746,9,True
D1b_3feat_trained,0.001,1086,0.4343241436221614,25,True
D1b_3feat_trained,0.001,832,0.4380265229730162,9,True
D1b_3feat_trained,0.001,507,0.4312990062590569,17,True
D1b_3feat_trained,0.001,118,0.45183582085512114,17,True
D1b_3feat_trained,0.001,514,0.42012270040034894,25,True
D1b_3feat_trained,0.001,1104,0.4247104774392686,33,True
D1b_3feat_trained,0.001,452,0.4284220382521628,9,True
D1b_3feat_trained,0.01,238,0.4205648347711464,9,True
D1b_3feat_trained,0.01,775,0.4287861578218496,9,True
D1b_3feat_trained,0.01,1137,0.4233552053698367,9,True
D1b_3feat_trained,0.01,715,0.4012975380073032,17,True
D1b_3feat_trained,0.01,993,0.4366544688994753,49,True
D1b_3feat_trained,0.01,1352,0.43076801985845065,33,True
D1b_3feat_trained,0.01,1021,0.40536947233354303,9,True
D1b_3feat_trained,0.01,636,0.4221782703983328,9,True
D1b_3feat_trained,0.01,1337,0.4382526411657343,17,True
D1b_3feat_trained,0.01,936,0.4252643027142695,9,True
D1b_3feat_trained,0.01,1336,0.41408798948491776,25,True
D1b_3feat_trained,0.01,882,0.45147015871381424,33,True
D1b_3feat_trained,0.01,1146,0.48054523260040005,17,True
D1b_3feat_trained,0.01,421,0.4311170438709691,25,True
D1b_3feat_trained,0.01,784,0.41862084012944767,17,True
D1b_3feat_trained,0.01,216,0.409161311781506,9,True
D1b_3feat_trained,0.01,1368,0.4427187561288746,25,True
D1b_3feat_trained,0.01,185,0.42204226283369106,25,True
D1b_3feat_trained,0.01,975,0.4279680313453986,17,True
D1b_3feat_trained,0.01,1014,0.42280051526770124,9,True
D1b_3feat_trained,0.01,808,0.4337050809312799,25,True
D1b_3feat_trained,0.01,770,0.4081411946989931,25,True
D1b_3feat_trained,0.01,598,0.42162120937003217,33,True
D1b_3feat_trained,0.01,660,0.4322463618822191,33,True
D1b_3feat_trained,0.01,350,0.4397990397141212,17,True
D1b_3feat_trained,0.01,693,0.46020403210400623,25,True
D1b_3feat_trained,0.01,132,0.4241378648972171,9,True
D1b_3feat_trained,0.01,127,0.4168267842143099,9,True
D1b_3feat_trained,0.01,410,0.45300095687736625,25,True
D1b_3feat_trained,0.01,232,0.4201456727570951,49,True
D1b_3feat_trained,0.01,219,0.42469549410167673,9,True
D1b_3feat_trained,0.01,217,0.3952686576863229,9,True
D1b_3feat_trained,0.01,115,0.4290263385321555,57,True
D1b_3feat_trained,0.01,324,0.42989204328547087,25,True
D1b_3feat_trained,0.01,619,0.42621327473846665,25,True
D1b_3feat_trained,0.01,1199,0.41218176860646505,17,True
D1b_3feat_trained,0.01,1319,0.4008085622149306,9,True
D1b_3feat_trained,0.01,236,0.4183019562358981,9,True
D1b_3feat_trained,0.01,873,0.44522673726982903,17,True
D1b_3feat_trained,0.01,113,0.4211643264751705,41,True
D1b_3feat_trained,0.01,279,0.4554482074223396,17,True
D1b_3feat_trained,0.01,729,0.4418772683153331,9,True
D1b_3feat_trained,0.01,759,0.42648556281005173,17,True
D1b_3feat_trained,0.01,1163,0.42114450249672264,57,True
D1b_3feat_trained,0.01,72,0.44009644239130746,57,True
D1b_3feat_trained,0.01,1099,0.43629448762688916,17,True
D1b_3feat_trained,0.01,1274,0.4088162192845054,33,True
D1b_3feat_trained,0.01,1241,0.4224286326357913,17,True
D1b_3feat_trained,0.01,1107,0.4294033695003191,57,True
D1b_3feat_trained,0.01,985,0.4066411468709547,9,True
D1b_3feat_trained,0.01,70,0.4098595671197151,9,True
D1b_3feat_trained,0.01,1179,0.429730610588517,25,True
D1b_3feat_trained,0.01,57,0.4216009474859746,9,True
D1b_3feat_trained,0.01,1086,0.41443435709440757,33,True
D1b_3feat_trained,0.01,832,0.4214355683547052,25,True
D1b_3feat_trained,0.01,507,0.40151467935608726,25,True
D1b_3feat_trained,0.01,118,0.45183582085512114,17,True
D1b_3feat_trained,0.01,514,0.42012270040034894,25,True
D1b_3feat_trained,0.01,1104,0.4247104774392686,33,True
D1b_3feat_trained,0.01,452,0.4284220382521628,9,True
D1b_3feat_trained,0.05,238,0.4003755300864622,25,True
D1b_3feat_trained,0.05,775,0.41813347794477707,25,True
D1b_3feat_trained,0.05,1137,0.40000463128382757,33,True
D1b_3feat_trained,0.05,715,0.24551336091975742,119,True
D1b_3feat_trained,0.05,993,0.4366544688994753,49,True
D1b_3feat_trained,0.05,1352,0.43076801985845065,33,True
D1b_3feat_trained,0.05,1021,0.40536947233354303,17,True
D1b_3feat_trained,0.05,636,0.4221782603795083,25,True
D1b_3feat_trained,0.05,1337,0.4382526411657343,17,True
